"","Hypothesis","Name","CVOI_mean","CVOI_lci","CVOI_uci","Red_mean","Red_lci","Red_uci","Rel_a_mean","Rel_b_mean","Rel_both_mean","Rel_both_lci","Rel_both_uci","Mag_mean","Mag_lci","Mag_uci","Num_experts"
"1",1,"Overflights",4.75,0,14.7,3.27272727272727,1.5,4,1.5,2.75,4.5,1.65,8.7,0.833333333333333,0,1.9,11
"2",2,"Recreation",4.91666666666667,0,14.7,3.18181818181818,2,4,2,2.75,6.16666666666667,1.1,10.35,0.75,0,1.45,11
"3",3,"Fishery Equipment",2.41666666666667,0,8.7,2.5,1.55,3.45,1.75,2,3.41666666666667,1,6,0.666666666666667,0,2,12
"4",4,"Overfishing",8.25,0,22.05,2,1,3,2.5,2.08333333333333,5.91666666666667,1.1,10.35,1.33333333333333,0,3,11
"5",5,"Native Predators",2.08333333333333,0,9,2.85714285714286,1,4,0.833333333333333,1.16666666666667,1.83333333333333,0,6.25,0.75,0,2.45,7
"6",6,"Pinnipeds",0.666666666666667,0,2.9,2.66666666666667,2.1,3,0.25,0.416666666666667,0.416666666666667,0,2,0.416666666666667,0,2,3
"7",7,"Seabird Colonization",0.416666666666667,0,2.45,2.5,2,3.7,0.333333333333333,0.25,0.25,0,1.45,0.916666666666667,0,3.45,4
"8",8,"Oil Platforms",1,0,5.7,2,2,2,0.166666666666667,0.333333333333333,0.333333333333333,0,1.9,0.5,0,3,2
"9",9,"Offshore Wind",6.16666666666667,0,12,2.81818181818182,2,4,1.41666666666667,1.83333333333333,2.58333333333333,0,4.9,2.08333333333333,0.55,3,11
"10",10,"Shipping Traffic",2.16666666666667,0,8.7,1.66666666666667,0.25,3,0.583333333333333,0.583333333333333,0.75,0,2.9,1.5,0,3.45,6
"11",11,"Artificial Light",1.08333333333333,0,4.35,1.5,1,2,0.333333333333333,0.5,0.5,0,1.9,0.75,0,3,4
"12",12,"Invasive Plants",3,0,6,2.81818181818182,2,3.5,1.16666666666667,2.08333333333333,2.75,0.55,6,1.25,0,2,11
"13",13,"Black Rats",4,0,24,4,4,4,0.333333333333333,0.666666666666667,1.33333333333333,0,8,0.5,0,3,2
"14",14,"New Invasive Species",6.5,0,20.7,2.58333333333333,0.55,4,2.33333333333333,3.41666666666667,8.08333333333333,3.1,13.8,0.916666666666667,0,2.45,12
"15",15,"Oil Spills",1.08333333333333,0,5.15,1.83333333333333,0,3.45,2.41666666666667,1.33333333333333,3.33333333333333,0,8.45,0.333333333333333,0,1,12
"16",16,"Residual DDT",0,0,0,2.66666666666667,0.55,4,2.16666666666667,0.833333333333333,2.41666666666667,0,9.8,0.916666666666667,0,3,12
"17",17,"Contaminants",1.66666666666667,0,6.9,2.09090909090909,0.5,3,1.33333333333333,0.583333333333333,0.75,0,2.9,2.25,1.1,3,11
"18",18,"Sea Level Rise",0.833333333333333,0,2.9,2.4,1,3.8,0.583333333333333,0.416666666666667,0.5,0,2,0.666666666666667,0,2,5
"19",19,"Marine Productivity",0,0,0,2,0.55,3.45,2.5,0,0,0,0,1.08333333333333,0,2,12
"20",20,"Sea Surface Temperature",0,0,0,2.16666666666667,0.55,3.45,2.41666666666667,0,0,0,0,1.25,0,2.45,12
"21",21,"Precipitation",4.08333333333333,0,14.7,2.11111111111111,1,3,1.25,0.916666666666667,1.66666666666667,0,6,1.41666666666667,0,3,9
"22",22,"Ambient Temperature",1.66666666666667,0,6.9,2.27272727272727,1,3.5,1.58333333333333,0.5,0.916666666666667,0,3.45,1.75,0,3,11
"23",23,"Marine Heat Waves",0,0,0,2,1,3.45,2.25,0,0,0,0,1.25,0.55,2,12
"24",24,"Storm Events",1.5,0,4.9,2.2,0.45,4,1.33333333333333,0.5,0.833333333333333,0,2,1.41666666666667,0,2.45,10
"25",25,"Wind",0,0,0,1.63636363636364,0.5,3,2,0,0,0,0,2.16666666666667,0.55,3,11
"26",26,"Harmful Algal Blooms",1.16666666666667,0,5.94999999999999,1.66666666666667,0.55,3,1.5,0.333333333333333,0.5,0,2.35,1.75,1,3,12
"27",27,"Disease",2.75,0,8.7,2.63636363636364,1,3.5,2.58333333333333,0.75,2.16666666666667,0,5.8,1.58333333333333,0,3,11
"28",28,"Parasites",0.5,0,2,2,1,3,1,0.25,0.25,0,1,2.16666666666667,0,3,10
