"","hypothesis","code","name","iucn_name","mean_cvoi","mean_red","cvoi_lci","cvoi_uci","red_lci","red_uci","robustness_score","sensitivity_cat"
"1",1,"H1","Overflights","Transportation & service corridors",0.491714401012871,3.17663582269353,0.285211267605634,0.73975205399061,2.60714285714286,3.66666666666667,53.7,"Highly Sensitive"
"2",2,"H2","Recreation","Human intrusions & disturbance",1.13757730828733,2.79709621995457,0.822916666666667,1.46833186619718,2.5,3.10946180555556,100,"Robust"
"3",3,"H3","Fishery Equipment","Biological resource use",0.67961648556421,1.93644387234663,0.446428571428571,0.93932847082495,1.45864621893178,2.40367231638418,63.9,"Highly Sensitive"
"4",4,"H4","Overfishing","Biological resource use",1.28429326141684,1.78818885198373,0.824947183098591,1.78583829365079,1.2829030122476,2.27027027027027,86.4,"Moderately Sensitive"
"5",5,"H5","Native Predators","Invasive & other problematic species, genes & diseases",0.904239419261313,3.14242638148906,0.559507042253521,1.27486476832007,2.63490537240537,3.61290322580645,96.9,"Robust"
"6",6,"H6","Pinnipeds","Invasive & other problematic species, genes & diseases",0.202779425447544,2.80321976763039,0.116197183098592,0.288732394366197,2.35,3.26923076923077,99,"Robust"
"7",7,"H7","Seabird Colonization","Invasive & other problematic species, genes & diseases",0.303671659051577,1.4186589538767,0.135416666666667,0.503645833333333,0.81241554054054,1.94594594594595,93.6,"Robust"
"8",8,"H8","Oil Platforms","Energy production & mining",0.499465127213116,1.84207802254365,0.225677327856025,0.850765356025039,1.46332082551595,2.25,50.5,"Highly Sensitive"
"9",9,"H9","Offshore Wind","Energy production & mining",1.36535739325673,2.63564922594571,1.02855130784708,1.73571428571429,2.2757053291536,3,99.4,"Robust"
"10",10,"H10","Shipping Traffic","Transportation & service corridors",0.444577018311918,1.62113218963451,0.158450704225352,0.791666666666667,0.932820512820513,2.37142857142857,60.9,"Highly Sensitive"
"11",11,"H11","Artificial Light","Pollution",0.917861448033589,1.92107680378586,0.485693277310924,1.40636003521127,1.53839031339031,2.25531914893617,77.8,"Moderately Sensitive"
"12",12,"H12","Invasive Plants","Invasive & other problematic species, genes & diseases",0.726992632229611,2.68114630146672,0.390747261345853,1.08802816901408,2.4,2.9630604288499,84.8,"Moderately Sensitive"
"13",13,"H13","Black Rats","Invasive & other problematic species, genes & diseases",1.90435027773268,3.05025111123515,1.04929577464789,2.87517857142857,2.46913265306122,3.55577777777778,98.6,"Robust"
"14",14,"H14","New Invasive Species","Invasive & other problematic species, genes & diseases",1.59112154931856,2.6496115799557,0.562191901408451,2.65323748043818,2.05633802816901,3.24014084507042,89.1,"Moderately Sensitive"
"15",15,"H15","Oil Spills","Pollution",0.290403504656258,1.72243016218737,0.0277777777777778,0.694933489827856,1.12094861660079,2.31008048289738,72.1,"Highly Sensitive"
"16",16,"H16","Residual DDT","Pollution",0.255511138329737,2.56815545957767,0.0398266045548654,0.486111111111111,1.95384615384615,3.14094567404427,84.4,"Moderately Sensitive"
"17",17,"H17","Contaminants","Pollution",0.549350069861599,2.00951179891614,0.144824016563147,0.957775821596244,1.55498366013072,2.41822704658526,32.4,"Highly Sensitive"
"18",18,"H18","Sea Level Rise","Climate change & severe weather",0.50594755853207,2.33522351836693,0.22777600170503,0.826388888888889,1.82755305039788,2.85431547619048,37.9,"Highly Sensitive"
"19",19,"H19","Marine Productivity","Climate change & severe weather",0,1.98422666160703,0,0,1.47024722932651,2.47859025032938,68.6,"Highly Sensitive"
"20",20,"H20","Sea Surface Temperature","Climate change & severe weather",0,2.14552110182017,0,0,1.68523138832998,2.58571428571429,55.6,"Highly Sensitive"
"21",21,"H21","Precipitation","Climate change & severe weather",0.669900270952301,2.15771869599413,0.277638888888889,1.13438277363184,1.69372912801484,2.6,47.1,"Highly Sensitive"
"22",22,"H22","Ambient Temperature","Climate change & severe weather",0.391857474117139,2.26003460299552,0.218158255086072,0.573020833333333,1.79965517241379,2.7094696969697,56,"Highly Sensitive"
"23",23,"H23","Marine Heat Waves","Climate change & severe weather",0,2.10880605765755,0,0,1.63145161290323,2.6089751552795,53.3,"Highly Sensitive"
"24",24,"H24","Storm Events","Climate change & severe weather",0.661105713480526,2.03112665360947,0.217857142857143,1.15983470266041,1.45454545454545,2.61538461538462,38.9,"Highly Sensitive"
"25",25,"H25","Wind","Climate change & severe weather",0,1.63784341403064,0,0,1.18325757575758,2.04823809523809,96.8,"Robust"
"26",26,"H26","Harmful Algal Blooms","Invasive & other problematic species, genes & diseases",0.259524408787897,1.59791965879077,0.00694444444444444,0.704371227364185,1.19983606557377,2.01515151515152,87.5,"Moderately Sensitive"
"27",27,"H27","Disease","Invasive & other problematic species, genes & diseases",0.604525519333454,2.42822739779622,0.253521126760563,0.989925595238095,1.98432291666667,2.84620726495726,58.9,"Highly Sensitive"
"28",28,"H28","Parasites","Invasive & other problematic species, genes & diseases",0.083190002732866,1.84659256330593,0.00704225352112676,0.169014084507042,1.46750298685783,2.2546088794926,87.8,"Moderately Sensitive"
